ID,Algorithm,Accuracy (%),Infer (ms),Params (K),Conv Layers,Channels,FC Units,LR,Batch,Epochs,Dropout,Optimizer
3,Optuna NSGA-II,90.4,0.394,106.0,2,16,64,-2.51 (log),64,8,0.05,ADAM
7,Optuna NSGA-II,89.02,0.362,106.0,2,16,64,-2.85 (log),64,6,0.05,ADAM
1,Optuna NSGA-II,88.88,0.353,804.6,1,32,128,-3.42 (log),128,6,0.25,ADAM
4,Optuna NSGA-II,88.66,0.256,403.0,1,16,128,-2.85 (log),128,6,0.0,ADAM
6,Optuna NSGA-II,88.48,0.332,402.5,1,32,64,-2.40 (log),128,7,0.0,ADAM
2,Optuna NSGA-II,88.4,0.313,402.5,1,32,64,-3.01 (log),32,8,0.25,SGD
5,Optuna NSGA-II,88.26,0.233,201.6,1,16,64,-2.85 (log),64,8,0.05,SGD
8,Optuna NSGA-II,83.06,0.228,201.6,1,16,64,-3.42 (log),128,6,0.1,SGD
